src_ip,dst_ip,bytes,packets,protocol,process,anomaly_score,is_anomaly,timestamp
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:31.763194
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:33.766515
10.71.162.243,10.71.162.92,72,1,UDP,msedge.exe,0.0,False,2025-09-08T06:22:34.396158
10.71.162.243,10.71.162.92,72,1,UDP,msedge.exe,0.0,False,2025-09-08T06:22:34.428875
10.71.162.243,10.71.162.92,72,1,UDP,msedge.exe,0.0,False,2025-09-08T06:22:34.466745
10.71.162.243,10.71.162.92,69,1,UDP,msedge.exe,0.0,False,2025-09-08T06:22:34.509564
10.71.162.243,10.71.162.92,69,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.575640
10.71.162.243,10.71.162.92,69,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.603979
10.71.162.243,10.71.162.92,84,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.639054
10.71.162.243,10.71.162.92,84,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.677775
10.71.162.243,10.71.162.92,84,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.704454
10.71.162.92,10.71.162.243,84,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.734829
10.71.162.243,10.71.162.92,87,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.765292
10.71.162.243,10.71.162.92,87,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.790815
10.71.162.243,10.71.162.92,87,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.818251
10.71.162.92,10.71.162.243,238,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.848659
10.71.162.92,10.71.162.243,197,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.874652
10.71.162.243,204.79.197.203,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:34.899264
10.71.162.92,10.71.162.243,238,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.923786
10.71.162.92,10.71.162.243,263,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.950271
10.71.162.92,10.71.162.243,251,1,UDP,Unknown,0.0,False,2025-09-08T06:22:34.977193
10.71.162.243,10.71.162.92,74,1,UDP,svchost.exe,0.0,False,2025-09-08T06:22:35.001529
10.71.162.243,10.71.162.92,74,1,UDP,svchost.exe,0.0,False,2025-09-08T06:22:35.025102
10.71.162.92,10.71.162.243,278,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.050020
10.71.162.92,10.71.162.243,148,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.073151
10.71.162.92,10.71.162.243,165,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.099449
10.71.162.243,108.159.80.95,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.129742
10.71.162.92,10.71.162.243,274,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.156652
10.71.162.92,10.71.162.243,219,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.180930
10.71.162.243,204.79.197.203,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.205749
10.71.162.92,10.71.162.243,274,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.235564
10.71.162.243,13.69.239.72,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.259464
204.79.197.203,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:35.287590
10.71.162.243,204.79.197.203,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.314155
10.71.162.243,204.79.197.203,1354,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.340909
10.71.162.243,204.79.197.203,927,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.364765
10.71.162.243,10.71.162.92,74,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.392873
10.71.162.243,10.71.162.92,74,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.421122
10.71.162.243,10.71.162.92,74,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.446183
10.71.162.243,10.71.162.92,70,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.474000
10.71.162.243,10.71.162.92,70,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.500149
10.71.162.243,10.71.162.92,70,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.525425
10.71.162.243,10.71.162.92,76,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.562968
10.71.162.243,10.71.162.92,76,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.588324
10.71.162.243,10.71.162.92,76,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.612569
10.71.162.243,13.107.246.48,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:35.636415
10.71.162.243,108.159.80.95,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.661355
10.71.162.243,13.69.239.72,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.684864
108.159.80.95,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:35.710039
10.71.162.243,108.159.80.95,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.735142
10.71.162.243,108.159.80.95,1354,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.759868
10.71.162.243,108.159.80.95,769,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.777652
10.71.162.243,13.69.239.72,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.796944
204.79.197.203,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:35.816111
10.71.162.243,204.79.197.203,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.833264
10.71.162.243,204.79.197.203,1354,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.854135
10.71.162.243,204.79.197.203,540,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:35.871885
10.71.162.243,13.107.246.48,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:35.890513
204.79.197.203,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:35.909409
10.71.162.92,10.71.162.243,270,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.929919
204.79.197.203,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:35.949735
204.79.197.203,10.71.162.243,153,1,TCP,Unknown,0.0,False,2025-09-08T06:22:35.967536
10.71.162.92,10.71.162.243,278,1,UDP,Unknown,0.0,False,2025-09-08T06:22:35.987744
10.71.162.243,204.79.197.203,1073,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.004255
10.71.162.92,10.71.162.243,275,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.022810
10.71.162.243,20.190.146.38,66,1,TCP,svchost.exe,0.0,False,2025-09-08T06:22:36.046307
10.71.162.92,10.71.162.243,326,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.068001
10.71.162.92,10.71.162.243,218,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.087851
10.71.162.92,10.71.162.243,247,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.106530
10.71.162.243,10.71.162.92,72,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.125903
10.71.162.243,10.71.162.92,72,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.144809
10.71.162.243,10.71.162.92,72,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.163524
13.107.246.48,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.182014
10.71.162.92,10.71.162.243,197,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.201304
10.71.162.92,10.71.162.243,156,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.223603
10.71.162.92,10.71.162.243,197,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.242084
10.71.162.243,204.79.197.219,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.261266
10.71.162.243,204.79.197.219,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.279157
108.159.80.95,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.298783
10.71.162.243,108.159.80.95,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.315991
10.71.162.243,108.159.80.95,1354,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.332730
10.71.162.243,108.159.80.95,552,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.349326
13.69.239.72,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.367524
10.71.162.243,13.69.239.72,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.385027
10.71.162.243,13.69.239.72,1354,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.401314
10.71.162.243,13.69.239.72,491,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.417962
108.159.80.95,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.437225
13.69.239.72,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.456190
10.71.162.243,13.69.239.72,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.473773
10.71.162.243,13.69.239.72,1354,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.490609
10.71.162.243,13.69.239.72,555,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.507492
204.79.197.203,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.526958
13.107.246.48,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.548070
10.71.162.243,23.48.245.218,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.571966
10.71.162.243,23.48.245.218,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.593922
204.79.197.203,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.615944
204.79.197.203,10.71.162.243,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.635357
204.79.197.203,10.71.162.243,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.653144
10.71.162.243,204.79.197.203,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.669955
204.79.197.203,10.71.162.243,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.694601
204.79.197.203,10.71.162.243,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.718602
10.71.162.243,204.79.197.203,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.735956
204.79.197.203,10.71.162.243,888,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.755727
10.71.162.243,204.79.197.203,128,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.772868
10.71.162.243,204.79.197.203,146,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.791318
10.71.162.243,204.79.197.203,500,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.808958
10.71.162.92,10.71.162.243,333,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.830874
10.71.162.92,10.71.162.243,225,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.853668
10.71.162.92,10.71.162.243,254,1,UDP,Unknown,0.0,False,2025-09-08T06:22:36.873632
13.69.239.72,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.892115
10.71.162.243,13.69.239.72,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.913812
10.71.162.243,13.69.239.72,1354,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.937278
10.71.162.243,13.69.239.72,491,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:36.961408
108.159.80.95,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:36.994911
10.71.162.243,23.48.245.152,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.060702
10.71.162.243,23.48.245.152,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.089585
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:37.129028
10.71.162.243,13.69.239.72,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.165311
204.79.197.203,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.193302
204.79.197.203,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.215986
204.79.197.203,10.71.162.243,513,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.236812
204.79.197.203,10.71.162.243,116,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.256625
10.71.162.243,204.79.197.203,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:37.275062
10.71.162.243,204.79.197.203,85,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:37.292791
204.79.197.203,10.71.162.243,85,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.310463
10.71.162.243,204.79.197.203,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:37.327007
13.69.239.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.347658
13.69.239.72,10.71.162.243,153,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.365081
10.71.162.243,13.69.239.72,637,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:37.382150
23.48.245.152,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.400391
10.71.162.243,23.48.245.152,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.419872
10.71.162.243,23.48.245.152,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.437122
10.71.162.243,23.48.245.152,542,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.455444
23.48.245.152,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.474151
10.71.162.243,23.48.245.152,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.491844
10.71.162.243,23.48.245.152,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.510315
10.71.162.243,23.48.245.152,542,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.528641
204.79.197.203,10.71.162.243,597,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.546468
10.71.162.243,13.69.239.72,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.569316
10.71.162.243,204.79.197.203,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.607257
13.69.239.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.626561
10.71.162.243,108.159.80.95,769,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:37.644211
10.71.162.243,204.79.197.203,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:37.661201
10.71.162.243,20.190.146.38,66,1,TCP,svchost.exe,0.0,False,2025-09-08T06:22:37.678017
13.107.246.48,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.696771
10.71.162.243,204.79.197.203,540,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:37.713651
10.71.162.243,204.79.197.219,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:37.730002
10.71.162.243,204.79.197.219,66,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:37.747031
23.48.245.152,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.765904
10.71.162.243,23.48.245.152,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.783255
23.48.245.152,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.802751
13.69.239.72,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.821107
10.71.162.243,23.48.245.152,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.839656
10.71.162.243,13.69.239.72,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.858009
10.71.162.243,13.69.239.72,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.877274
10.71.162.243,13.69.239.72,555,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.895640
10.71.162.243,23.48.245.152,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.914607
13.69.239.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.935498
10.71.162.243,204.79.197.203,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.954593
10.71.162.243,108.159.80.95,552,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:37.970888
23.48.245.152,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:37.990944
204.79.197.203,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.010598
10.71.162.243,204.79.197.203,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.030169
10.71.162.243,204.79.197.203,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.048886
10.71.162.243,204.79.197.203,572,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.068629
108.159.80.95,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.087630
108.159.80.95,10.71.162.243,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.106719
108.159.80.95,10.71.162.243,76,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.125437
10.71.162.243,108.159.80.95,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.143025
10.71.162.243,108.159.80.95,118,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.159334
10.71.162.243,108.159.80.95,146,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.176469
10.71.162.243,108.159.80.95,851,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.193597
10.71.162.243,23.48.245.152,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.212080
13.107.246.48,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.229328
20.190.146.38,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.247765
10.71.162.243,20.190.146.38,54,1,TCP,svchost.exe,0.0,False,2025-09-08T06:22:38.264492
10.71.162.243,20.190.146.38,283,1,TCP,svchost.exe,0.0,False,2025-09-08T06:22:38.280671
204.79.197.203,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.298377
10.71.162.243,108.159.80.95,89,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.314417
13.69.239.72,10.71.162.243,5254,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.334270
204.79.197.203,10.71.162.243,153,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.352884
13.69.239.72,10.71.162.243,1220,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.372029
10.71.162.243,13.69.239.72,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.389149
13.69.239.72,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.407095
204.79.197.219,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.425496
204.79.197.219,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.443559
10.71.162.243,13.69.239.72,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.461217
10.71.162.243,204.79.197.219,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.477548
10.71.162.243,204.79.197.219,54,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.493114
10.71.162.243,204.79.197.203,686,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.511708
10.71.162.243,13.69.239.72,1354,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.530206
10.71.162.243,13.69.239.72,555,1,TCP,Unknown,0.0,False,2025-09-08T06:22:38.548237
10.71.162.243,204.79.197.219,1354,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.565848
10.71.162.243,204.79.197.219,480,1,TCP,msedge.exe,0.0,False,2025-09-08T06:22:38.583313
